AVG,OBP,SLG,OPS,BB%,K%,ISO,LD%,Pull%,EV,LA,Barrel%,HardHit%,maxEV,Contact%,HR,R,RBI
0.302,0.390092879,0.522361359,0.912454238,0.116099071,0.184210526,0.220035778,0.255656108,0.4221219,89.37986288,13.36002051,0.1036036,0.40765766,112.733,0.77796053,24,93,90
0.302,0.358139534,0.492411467,0.850551001,0.074418604,0.227906976,0.190556493,0.213483146,0.32959641,90.27330523,8.026036523,0.09865471,0.44843049,112.95,0.7875569,27,74,76
0.300,0.392805755,0.503333333,0.896139088,0.122302158,0.153956834,0.203333333,0.244444444,0.37575758,91.4105358,11.97061021,0.11515152,0.45656566,113.552,0.80917698,31,120,83
0.300,0.387417218,0.533206831,0.920624049,0.109271523,0.144039735,0.233396585,0.203703703,0.51927438,85.91297895,16.13251885,0.07709751,0.29478458,109.764,0.84569733,28,103,57
0.300,0.365280289,0.378269617,0.743549906,0.086725663,0.130973451,0.078470825,0.213942307,0.32191781,86.82724021,2.829740152,0.00684932,0.26484018,107.885,0.86532344,2,78,43
0.298,0.34347826,0.484375,0.82785326,0.057971014,0.198550724,0.1859375,0.205128205,0.2938856,91.44681015,7.299930618,0.09861933,0.47534517,115.485,0.79973475,29,121,102
0.298,0.372641509,0.39964476,0.772286269,0.097178683,0.094043887,0.10124334,0.225742574,0.30844794,85.06313029,11.76581721,0.01375246,0.20825147,107.135,0.91875627,6,89,52
0.298,0.373406193,0.52173913,0.895145323,0.102003642,0.19125683,0.223602485,0.188481675,0.36814621,88.77887762,14.69865889,0.11488251,0.4308094,109.802,0.72504537,24,79,90
0.298,0.366459627,0.531141868,0.897601495,0.097826086,0.206521739,0.233564014,0.205816554,0.41163311,91.50770763,16.00390625,0.098434,0.48993289,112.371,0.76827243,32,100,102
0.298,0.342776203,0.466257668,0.809033871,0.063559322,0.185028248,0.168711656,0.214421252,0.45351044,88.92110717,10.2028032,0.07561437,0.41398866,112.477,0.74910137,21,101,100
0.297,0.370705244,0.466395112,0.837100356,0.061041292,0.201077199,0.16904277,0.21081081,0.40932642,87.79348606,11.70818993,0.06217617,0.37564767,109.87,0.75325885,17,66,69
0.296,0.346218487,0.523636363,0.86985485,0.060504201,0.248739495,0.227272727,0.254950495,0.42574257,91.77941406,13.10814697,0.13861386,0.48762376,115.663,0.70261163,32,92,116
0.296,0.401433691,0.42283298,0.824266671,0.139784946,0.107526881,0.126849894,0.185990338,0.30434783,92.19745186,7.740452911,0.04830918,0.48550725,114.3,0.87093154,9,71,57
0.295,0.358306188,0.52072072,0.879026908,0.081433224,0.185667752,0.225225225,0.20316027,0.34009009,93.11285608,11.26158287,0.11486486,0.50900901,113.732,0.73952342,27,84,88
0.295,0.369817578,0.493383742,0.86320132,0.102819237,0.187396351,0.198487712,0.226950354,0.45626478,89.57853229,12.52038516,0.09692671,0.43026005,113.631,0.79563319,23,90,79
0.294,0.359292035,0.557312252,0.916604287,0.093474426,0.158730158,0.262845849,0.21718377,0.35866983,91.44499553,17.59040894,0.11583924,0.47044917,111.101,0.81961471,30,83,92
0.294,0.365243004,0.514096185,0.879339189,0.098674521,0.20029455,0.220563847,0.235169491,0.38983051,92.55035828,17.10977827,0.13559322,0.50211864,112.158,0.77613169,31,102,99
