AVG,OBP,SLG,OPS,R,HR,RBI,O-S%,Z-S%,S%,O-C%,Z-C%,C%,BB%,K%,ISO,BABIP,EV,LA,Barrel%,maxEV,HardHit%,xBA,xSLG,xwOBA
0.262,0.326,0.356,0.682,72,5,45,0.271,0.689,0.488,0.705,0.872,0.828,0.084,0.143,0.094,0.301,86.581,14.534226239737817,0.029,109.131,0.268,0.27,0.375,0.31
0.243,0.327,0.390,0.718,55,15,44,0.223,0.526,0.391,0.658,0.879,0.823,0.107,0.222,0.147,0.295,89.57068951072387,3.835762085288204,0.059,111.244,0.430,0.255,0.393,0.322
0.272,0.318,0.382,0.700,66,11,67,0.319,0.684,0.509,0.696,0.876,0.822,0.061,0.171,0.110,0.313,85.05180328436808,14.390512402993348,0.024,106.141,0.241,0.242,0.335,0.276
0.254,0.326,0.366,0.692,57,12,46,0.318,0.662,0.488,0.696,0.881,0.820,0.080,0.155,0.112,0.286,86.32899008276256,12.846220390981735,0.066,108.284,0.308,0.256,0.397,0.32
0.272,0.323,0.358,0.681,59,4,50,0.210,0.615,0.428,0.648,0.869,0.819,0.074,0.223,0.086,0.344,91.83124449823944,6.134584224423882,0.039,110.019,0.506,0.274,0.393,0.319
0.231,0.302,0.351,0.654,60,9,35,0.287,0.655,0.470,0.642,0.897,0.819,0.085,0.218,0.121,0.284,87.19310340990029,17.753214866007834,0.076,108.278,0.331,0.247,0.395,0.312
0.275,0.410,0.519,0.930,97,35,109,0.170,0.565,0.358,0.588,0.895,0.819,0.186,0.182,0.245,0.296,93.22318004261363,6.657955100319603,0.130,115.267,0.553,0.284,0.538,0.408
0.262,0.360,0.414,0.775,89,17,82,0.222,0.649,0.438,0.604,0.889,0.818,0.128,0.228,0.152,0.329,89.84197905368764,7.235607354087581,0.065,111.202,0.414,0.263,0.406,0.339
0.242,0.321,0.368,0.689,55,9,46,0.245,0.685,0.472,0.618,0.884,0.818,0.096,0.173,0.126,0.279,86.52387160030916,14.775,0.040,108.772,0.317,0.247,0.349,0.306
0.306,0.339,0.475,0.814,69,20,73,0.362,0.753,0.566,0.628,0.898,0.816,0.045,0.191,0.168,0.355,90.15915817731278,6.130646287349233,0.096,113.406,0.449,0.312,0.502,0.363
0.280,0.336,0.513,0.849,96,33,109,0.358,0.770,0.547,0.667,0.896,0.815,0.070,0.162,0.233,0.289,88.73076014364919,16.460667763986894,0.082,110.654,0.389,0.266,0.467,0.34
0.331,0.410,0.567,0.976,131,29,102,0.269,0.749,0.509,0.658,0.870,0.814,0.099,0.166,0.235,0.370,89.98160525048169,15.168289566775048,0.111,110.647,0.418,0.323,0.565,0.408
0.307,0.356,0.525,0.881,95,26,97,0.309,0.662,0.499,0.643,0.880,0.812,0.072,0.156,0.218,0.319,87.87197104018912,17.237190408909573,0.061,109.162,0.314,0.268,0.434,0.327
0.276,0.358,0.485,0.844,94,25,82,0.247,0.648,0.455,0.606,0.886,0.812,0.109,0.168,0.209,0.300,91.05405610183189,10.696866791823815,0.080,117.061,0.428,0.266,0.427,0.342
0.266,0.315,0.459,0.774,71,26,93,0.337,0.649,0.485,0.635,0.913,0.811,0.067,0.165,0.193,0.279,88.77758632226981,16.94826309890257,0.073,110.263,0.381,0.266,0.435,0.32
0.271,0.309,0.453,0.762,65,15,61,0.304,0.606,0.456,0.623,0.899,0.808,0.053,0.198,0.182,0.315,92.21289564588689,13.175413470035346,0.074,113.114,0.483,0.273,0.44,0.324
0.274,0.363,0.466,0.829,89,24,68,0.215,0.599,0.423,0.575,0.877,0.806,0.109,0.214,0.193,0.324,91.84103563474387,12.15539523594098,0.095,111.971,0.477,0.261,0.453,0.352
0.285,0.357,0.485,0.842,75,20,74,0.191,0.596,0.409,0.653,0.848,0.806,0.101,0.223,0.200,0.341,91.39153412723785,10.83876978101023,0.105,114.611,0.480,0.283,0.469,0.357
0.285,0.350,0.440,0.790,83,19,58,0.239,0.584,0.425,0.620,0.870,0.806,0.084,0.165,0.154,0.319,87.59146205357143,7.886416433299389,0.061,111.381,0.343,0.255,0.401,0.318
0.285,0.362,0.506,0.868,116,25,76,0.282,0.632,0.454,0.634,0.885,0.805,0.088,0.194,0.221,0.325,90.02394037356322,10.969893047411327,0.076,113.756,0.409,0.268,0.441,0.344
0.273,0.347,0.453,0.800,90,25,68,0.258,0.671,0.468,0.658,0.859,0.805,0.100,0.146,0.180,0.288,89.73010229540918,15.059593703218562,0.079,112.391,0.403,0.282,0.478,0.362
0.245,0.300,0.412,0.712,83,18,64,0.355,0.697,0.529,0.653,0.876,0.803,0.052,0.192,0.167,0.279,87.38597972972973,13.464647997606981,0.069,112.501,0.357,0.247,0.399,0.304
0.256,0.373,0.417,0.790,64,17,45,0.180,0.611,0.390,0.531,0.885,0.801,0.146,0.183,0.161,0.290,88.33973785768072,17.47603316206832,0.091,111.542,0.398,0.265,0.454,0.363
0.258,0.327,0.405,0.732,87,21,72,0.213,0.713,0.493,0.529,0.863,0.799,0.088,0.183,0.147,0.291,88.305,12.033865792410714,0.077,115.930,0.394,0.264,0.422,0.332
0.250,0.337,0.366,0.703,79,12,58,0.334,0.724,0.532,0.566,0.903,0.799,0.065,0.176,0.116,0.294,87.48326725746269,13.65544417977079,0.068,112.716,0.384,0.27,0.42,0.342
0.244,0.338,0.407,0.746,78,17,61,0.191,0.554,0.385,0.556,0.869,0.796,0.098,0.206,0.163,0.281,89.454,15.282790178571428,0.077,111.381,0.384,0.252,0.424,0.339
0.271,0.315,0.416,0.731,63,14,49,0.367,0.668,0.511,0.614,0.907,0.796,0.042,0.226,0.145,0.331,85.94467030400816,10.836,0.048,110.463,0.337,0.248,0.371,0.292
0.240,0.318,0.429,0.747,78,23,86,0.237,0.667,0.453,0.638,0.850,0.794,0.105,0.168,0.189,0.255,88.77372894626949,12.811948100814309,0.067,111.656,0.362,0.24,0.378,0.308
0.268,0.315,0.468,0.783,101,28,86,0.279,0.591,0.435,0.587,0.889,0.792,0.053,0.258,0.201,0.325,88.509,10.819771029071351,0.096,111.431,0.405,0.255,0.436,0.319
0.254,0.336,0.470,0.806,108,31,98,0.284,0.675,0.480,0.607,0.869,0.792,0.096,0.199,0.216,0.277,91.249,19.19830011917373,0.104,112.439,0.439,0.255,0.457,0.346
0.276,0.319,0.495,0.813,97,30,96,0.308,0.692,0.505,0.641,0.851,0.789,0.058,0.174,0.218,0.295,90.71849702380952,15.662420014880952,0.115,113.848,0.454,0.294,0.533,0.369
0.264,0.345,0.444,0.788,78,26,94,0.281,0.723,0.506,0.567,0.870,0.787,0.098,0.147,0.179,0.277,92.14321887351778,10.462550951086957,0.111,116.696,0.492,0.299,0.503,0.378
0.220,0.285,0.389,0.674,65,20,61,0.278,0.685,0.494,0.579,0.861,0.786,0.077,0.232,0.169,0.256,87.83261148872678,20.54148059308687,0.073,112.457,0.360,0.232,0.394,0.302
0.263,0.305,0.378,0.683,70,6,58,0.397,0.682,0.534,0.640,0.877,0.786,0.053,0.182,0.116,0.314,88.34094799863801,7.599348427592844,0.034,110.499,0.394,0.271,0.38,0.305
0.257,0.325,0.472,0.797,81,28,95,0.350,0.654,0.490,0.671,0.857,0.785,0.084,0.232,0.215,0.299,90.57986209085779,20.22160914573928,0.102,113.041,0.460,0.237,0.426,0.319
0.275,0.321,0.401,0.722,71,13,89,0.311,0.640,0.476,0.584,0.881,0.784,0.058,0.198,0.126,0.329,89.35723624741736,9.379,0.054,110.781,0.417,0.247,0.361,0.288
0.271,0.356,0.464,0.820,74,23,86,0.239,0.617,0.438,0.571,0.856,0.782,0.102,0.209,0.192,0.318,88.71607823081264,15.34923656566723,0.067,110.554,0.371,0.252,0.417,0.333
0.251,0.336,0.471,0.807,77,22,70,0.292,0.669,0.473,0.594,0.870,0.782,0.092,0.220,0.220,0.292,88.284,14.113017513877468,0.078,111.325,0.363,0.236,0.407,0.318
0.258,0.314,0.429,0.743,67,21,80,0.332,0.629,0.475,0.596,0.884,0.780,0.059,0.210,0.171,0.299,90.63912122722095,11.154478173049544,0.084,111.734,0.465,0.252,0.427,0.319
